HDR,ROLLING SYSTEM DEMAND,
VD,20200306000000,29478
VD,20200306000500,29545
VD,20200306001000,29593
VD,20200306001500,29579
VD,20200306002000,29561
VD,20200306002500,29543
VD,20200306003000,29535
VD,20200306003500,29790
VD,20200306004000,29827
VD,20200306004500,29843
VD,20200306005000,29842
VD,20200306005500,29724
VD,20200306010000,29701
VD,20200306010500,29771
VD,20200306011000,29745
VD,20200306011500,29705
VD,20200306012000,29777
VD,20200306012500,29751
VD,20200306013000,29678
VD,20200306013500,29672
VD,20200306014000,29655
VD,20200306014500,29586
VD,20200306015000,29614
VD,20200306015500,29573
VD,20200306020000,29510
VD,20200306020500,29440
VD,20200306021000,29388
VD,20200306021500,29237
VD,20200306022000,29069
VD,20200306022500,28875
VD,20200306023000,28849
VD,20200306023500,28885
VD,20200306024000,28855
VD,20200306024500,28854
VD,20200306025000,28844
VD,20200306025500,28856
VD,20200306030000,28794
VD,20200306030500,28874
VD,20200306031000,28880
VD,20200306031500,28806
VD,20200306032000,28755
VD,20200306032500,28742
VD,20200306033000,28784
VD,20200306033500,28748
VD,20200306034000,28640
VD,20200306034500,28553
VD,20200306035000,28498
VD,20200306035500,28417
VD,20200306040000,28413
VD,20200306040500,28409
VD,20200306041000,28356
VD,20200306041500,28254
VD,20200306042000,28279
VD,20200306042500,28253
VD,20200306043000,28225
VD,20200306043500,28231
VD,20200306044000,28282
VD,20200306044500,28306
VD,20200306045000,28359
VD,20200306045500,28342
VD,20200306050000,28426
VD,20200306050500,28355
VD,20200306051000,28333
VD,20200306051500,28216
VD,20200306052000,28329
VD,20200306052500,28446
VD,20200306053000,28524
VD,20200306053500,28750
VD,20200306054000,29004
VD,20200306054500,29265
VD,20200306055000,29591
VD,20200306055500,29886
VD,20200306060000,30274
VD,20200306060500,31054
VD,20200306061000,31941
VD,20200306061500,32495
VD,20200306062000,33019
VD,20200306062500,33539
VD,20200306063000,33908
VD,20200306063500,34573
VD,20200306064000,34919
VD,20200306064500,35281
VD,20200306065000,35656
VD,20200306065500,36162
VD,20200306070000,36591
VD,20200306070500,36939
VD,20200306071000,37659
VD,20200306071500,38413
VD,20200306072000,38597
VD,20200306072500,38705
VD,20200306073000,38834
VD,20200306073500,38952
VD,20200306074000,39061
VD,20200306074500,39239
VD,20200306075000,39454
VD,20200306075500,39464
VD,20200306080000,39463
VD,20200306080500,39497
VD,20200306081000,39520
VD,20200306081500,39451
VD,20200306082000,39268
VD,20200306082500,39205
VD,20200306083000,39177
VD,20200306083500,39009
VD,20200306084000,38959
VD,20200306084500,39007
VD,20200306085000,38933
VD,20200306085500,38879
VD,20200306090000,38854
VD,20200306090500,39026
VD,20200306091000,39008
VD,20200306091500,39011
VD,20200306092000,38866
VD,20200306092500,38761
VD,20200306093000,38586
VD,20200306093500,38557
VD,20200306094000,38528
VD,20200306094500,38336
VD,20200306095000,38267
VD,20200306095500,38141
VD,20200306100000,38101
VD,20200306100500,37695
VD,20200306101000,37629
VD,20200306101500,37484
VD,20200306102000,37300
VD,20200306102500,37249
VD,20200306103000,37169
VD,20200306103500,37125
VD,20200306104000,36998
VD,20200306104500,36839
VD,20200306105000,36767
VD,20200306105500,36671
VD,20200306110000,36595
VD,20200306110500,36406
VD,20200306111000,36367
VD,20200306111500,36441
VD,20200306112000,36428
VD,20200306112500,36189
VD,20200306113000,36062
VD,20200306113500,36090
VD,20200306114000,36016
VD,20200306114500,35889
VD,20200306115000,35935
VD,20200306115500,35977
VD,20200306120000,35931
VD,20200306120500,35964
VD,20200306121000,35767
VD,20200306121500,35761
VD,20200306122000,35726
VD,20200306122500,35697
VD,20200306123000,35611
VD,20200306123500,35458
VD,20200306124000,35294
VD,20200306124500,35239
VD,20200306125000,35225
VD,20200306125500,35211
VD,20200306130000,35146
VD,20200306130500,34879
VD,20200306131000,34940
VD,20200306131500,34875
VD,20200306132000,34884
VD,20200306132500,34877
VD,20200306133000,34761
VD,20200306133500,34686
VD,20200306134000,34700
VD,20200306134500,34654
VD,20200306135000,34641
VD,20200306135500,34735
VD,20200306140000,34657
VD,20200306140500,34848
VD,20200306141000,34898
VD,20200306141500,34954
VD,20200306142000,34953
VD,20200306142500,34957
VD,20200306143000,35038
VD,20200306143500,35023
VD,20200306144000,34986
VD,20200306144500,34923
VD,20200306145000,34898
VD,20200306145500,34911
VD,20200306150000,34937
VD,20200306150500,35010
VD,20200306151000,35148
VD,20200306151500,35140
VD,20200306152000,35169
VD,20200306152500,35199
VD,20200306153000,35302
VD,20200306153500,35506
VD,20200306154000,35807
VD,20200306154500,36100
VD,20200306155000,36347
VD,20200306155500,36581
VD,20200306160000,36788
VD,20200306160500,36861
VD,20200306161000,36981
VD,20200306161500,37149
VD,20200306162000,37398
VD,20200306162500,37830
VD,20200306163000,38067
VD,20200306163500,38248
VD,20200306164000,38470
VD,20200306164500,38878
VD,20200306165000,39011
VD,20200306165500,39164
VD,20200306170000,39216
VD,20200306170500,39698
VD,20200306171000,39961
VD,20200306171500,40299
VD,20200306172000,40418
VD,20200306172500,40669
VD,20200306173000,40852
VD,20200306173500,41164
VD,20200306174000,41285
VD,20200306174500,41444
VD,20200306175000,41748
VD,20200306175500,41829
VD,20200306180000,42027
VD,20200306180500,42598
VD,20200306181000,42766
VD,20200306181500,43056
VD,20200306182000,43328
VD,20200306182500,43524
VD,20200306183000,43581
VD,20200306183500,43499
VD,20200306184000,43332
VD,20200306184500,43192
VD,20200306185000,43119
VD,20200306185500,43022
VD,20200306190000,42877
VD,20200306190500,42712
VD,20200306191000,42541
VD,20200306191500,42386
VD,20200306192000,42369
VD,20200306192500,42083
VD,20200306193000,41825
VD,20200306193500,41778
VD,20200306194000,41709
VD,20200306194500,41606
VD,20200306195000,41502
VD,20200306195500,41360
VD,20200306200000,41109
VD,20200306200500,40745
VD,20200306201000,40242
VD,20200306201500,39747
VD,20200306202000,39599
VD,20200306202500,39356
VD,20200306203000,39295
VD,20200306203500,39274
VD,20200306204000,38982
VD,20200306204500,38658
VD,20200306205000,38287
VD,20200306205500,37987
VD,20200306210000,37722
VD,20200306210500,37399
VD,20200306211000,37045
VD,20200306211500,36619
VD,20200306212000,36417
VD,20200306212500,36251
VD,20200306213000,35807
VD,20200306213500,35408
VD,20200306214000,35108
VD,20200306214500,34689
VD,20200306215000,34487
VD,20200306215500,34129
VD,20200306220000,33790
VD,20200306220500,33503
VD,20200306221000,33248
VD,20200306221500,32921
VD,20200306222000,32605
VD,20200306222500,32411
VD,20200306223000,32174
VD,20200306223500,32057
VD,20200306224000,31753
VD,20200306224500,31449
VD,20200306225000,31124
VD,20200306225500,30752
VD,20200306230000,30389
VD,20200306230500,30274
VD,20200306231000,30073
VD,20200306231500,29574
VD,20200306232000,29336
VD,20200306232500,28965
VD,20200306233000,28775
VD,20200306233500,28732
VD,20200306234000,28528
VD,20200306234500,28132
VD,20200306235000,28009
VD,20200306235500,27856
FTR,288,
